Label,M23_0,M23_0a
TOTAL_like,787.899,773.586
Survey_like,20.5476,-2.21374
Length_comp_like,356.046,138.398
Age_comp_like,412.195,640.848
Parm_priors_like,0.37809,0.0233247
Recr_Virgin_millions,28.8916,25.202
SR_LN(R0),10.2713,10.1347
SR_BH_steep,1,1
NatM_uniform_Fem_GP_1,0.351432,0.350872
L_at_Amax_Fem_GP_1,113.157,117.18
VonBert_K_Fem_GP_1,0.213434,0.190451
VonBert_K_Fem_GP_1_BLK1add_1991,NA,0.00402206
VonBert_K_Fem_GP_1_BLK1add_2004,NA,0.00316883
VonBert_K_Fem_GP_1_BLK1add_2018,NA,-0.0071905
SSB_Virgin_thousand_mt,179.164,157.733
Bratio_2021,0.189919,0.239639
SPRratio_2020,0.656022,0.596328
