"","Yr","TOT","SUMM","SSB","std","F","Catch","SSB_unfished","model"
"1",1991,155958,155958,57900.5,5636.55,0.124475,9797.54,77302,"scenario_1"
"2",1992,168514,168514,59747.5,4935.885,0.575473,43067.8,77302,"scenario_1"
"3",1993,147906,147906,54074,4632.585,0.516531,34204.7,77302,"scenario_1"
"4",1994,132284,132284,50454.5,4451.305,0.334502,21539.1,77302,"scenario_1"
"5",1995,129633,129633,48193.1,4083.425,0.255325,16534.1,77302,"scenario_1"
"6",1996,133225,133225,46969.3,3647.11,0.525238,31609.1,77302,"scenario_1"
"7",1997,124845,124845,44068.55,3206.66,0.460498,25164,77302,"scenario_1"
"8",1998,126834,126834,42451.2,2914.025,0.691838,34726.3,77302,"scenario_1"
"9",1999,127512,127512,40970.5,2858.56,0.583745,28130.4,77302,"scenario_1"
"10",2000,134830,134830,43384.85,2975.9,0.831895,39684.6,77302,"scenario_1"
"11",2001,130622,130622,43890.75,3123.53,0.702362,34207.3,77302,"scenario_1"
"12",2002,133897,133897,44358.2,3257.88,0.600586,30800.9,77302,"scenario_1"
"13",2003,140874,140874,45878.45,3410.29,0.608031,32456.7,77302,"scenario_1"
"14",2004,140840,140840,49260.1,3637.265,0.507624,28873.1,77302,"scenario_1"
"15",2005,135880,135880,50973.5,3543.085,0.36525,22693.6,77302,"scenario_1"
"16",2006,128771,128771,49714.5,3226.735,0.379304,24211.4,77302,"scenario_1"
"17",2007,117292,117292,43821.9,2802.06,0.615705,34354.6,77302,"scenario_1"
"18",2008,97342.4,97342.4,34264.25,2354.5,0.735808,31228.7,77302,"scenario_1"
"19",2009,83074.3,83074.3,27715.4,2004.36,0.894653,28581.7,77302,"scenario_1"
"20",2010,74095,74095,23371.85,1854.145,1.16095,29006.1,77302,"scenario_1"
"21",2011,64476.6,64476.6,21640.55,1817.01,0.440945,10888.6,77302,"scenario_1"
"22",2012,67690.3,67690.3,23931.4,1841.825,0.670744,18220,77302,"scenario_1"
"23",2013,62014.4,62014.4,22452.55,1808.68,0.500848,13612.3,77302,"scenario_1"
"24",2014,59765.1,59765.1,21463.35,1757.935,0.390031,10583.2,77302,"scenario_1"
"25",2015,60971.2,60971.2,21368.85,1726.765,0.336319,9209.56,77302,"scenario_1"
"26",2016,65889,65889,22193.15,1754.2,0.485732,13231.8,77302,"scenario_1"
"27",2017,68808.4,68808.4,22751.2,1864.12,0.564958,15170.3,77302,"scenario_1"
"28",2018,69638.1,69638.1,23427.7,2098.025,0.79611,20414.3,77302,"scenario_1"
"29",2019,63168.1,63168.1,21344.6,2150.57,0.823338,19186.9,77302,"scenario_1"
"30",2020,58437.4,58437.4,19294.2,2235.18,0.654258,14249.9,77302,"scenario_1"
"31",2021,60513.3,60513.3,18899.45,2324.35,0.659153,13966.1,77302,"scenario_1"
"32",2022,64219.4,64219.4,20050.85,2505.725,0.53401,11852,77302,"scenario_1"
"33",2023,68520.3,68520.3,23232.15,3072.99,0.277433,7311.63,77302,"scenario_1"
"34",2024,75762.4,75762.4,26456.3,3547.33,0.462701,14251.3,77302,"scenario_1"
"35",2025,79236.4,79236.4,26947.2,10628,0.481067,15584.4,77302,"scenario_1"
"36",2026,82991,82991,27583.6,16889.55,0.506437,16629.4,77302,"scenario_1"
"37",2027,87042.7,87042.7,28896.85,19568,0.559186,18711.7,77302,"scenario_1"
"38",2028,89916.8,89916.8,30003.5,18170.05,0.603651,20705.3,77302,"scenario_1"
"39",2029,91210.5,91210.5,30533.05,15504.05,0.624976,21799.3,77302,"scenario_1"
"40",2030,91494.7,91494.7,30657.9,13822.75,0.630012,22106.5,77302,"scenario_1"
"41",2031,91436.6,91436.6,30639.25,13313.2,0.629254,22091.2,77302,"scenario_1"
"42",2032,91356.1,91356.1,30607.8,13335.5,0.627984,22031.5,77302,"scenario_1"
"43",2033,91322.1,91322.1,30594.05,13440.1,0.627427,22001.3,77302,"scenario_1"
"44",2034,91316.5,91316.5,30591.55,13496.45,0.627326,21994.7,77302,"scenario_1"
"45",2035,91318.6,91318.6,30592.3,13510.15,0.627357,21995.7,77302,"scenario_1"
"46",2036,91320.7,91320.7,30593.1,13508.1,0.627389,21997.2,77302,"scenario_1"
"47",1991,155958,155958,57900.5,5636.55,0.124475,9797.54,77302,"scenario_2"
"48",1992,168514,168514,59747.5,4935.885,0.575473,43067.8,77302,"scenario_2"
"49",1993,147906,147906,54074,4632.585,0.516531,34204.7,77302,"scenario_2"
"50",1994,132284,132284,50454.5,4451.305,0.334502,21539.1,77302,"scenario_2"
"51",1995,129633,129633,48193.1,4083.425,0.255325,16534.1,77302,"scenario_2"
"52",1996,133225,133225,46969.3,3647.11,0.525238,31609.1,77302,"scenario_2"
"53",1997,124845,124845,44068.55,3206.66,0.460498,25164,77302,"scenario_2"
"54",1998,126834,126834,42451.2,2914.025,0.691838,34726.3,77302,"scenario_2"
"55",1999,127512,127512,40970.5,2858.56,0.583745,28130.4,77302,"scenario_2"
"56",2000,134830,134830,43384.85,2975.9,0.831895,39684.6,77302,"scenario_2"
"57",2001,130622,130622,43890.75,3123.53,0.702362,34207.3,77302,"scenario_2"
"58",2002,133897,133897,44358.2,3257.88,0.600586,30800.9,77302,"scenario_2"
"59",2003,140874,140874,45878.45,3410.29,0.608031,32456.7,77302,"scenario_2"
"60",2004,140840,140840,49260.1,3637.265,0.507624,28873.1,77302,"scenario_2"
"61",2005,135880,135880,50973.5,3543.085,0.36525,22693.6,77302,"scenario_2"
"62",2006,128771,128771,49714.5,3226.735,0.379304,24211.4,77302,"scenario_2"
"63",2007,117292,117292,43821.9,2802.06,0.615705,34354.6,77302,"scenario_2"
"64",2008,97342.4,97342.4,34264.25,2354.5,0.735808,31228.7,77302,"scenario_2"
"65",2009,83074.3,83074.3,27715.4,2004.36,0.894653,28581.7,77302,"scenario_2"
"66",2010,74095,74095,23371.85,1854.145,1.16095,29006.1,77302,"scenario_2"
"67",2011,64476.6,64476.6,21640.55,1817.01,0.440945,10888.6,77302,"scenario_2"
"68",2012,67690.3,67690.3,23931.4,1841.825,0.670744,18220,77302,"scenario_2"
"69",2013,62014.4,62014.4,22452.55,1808.68,0.500848,13612.3,77302,"scenario_2"
"70",2014,59765.1,59765.1,21463.35,1757.935,0.390031,10583.2,77302,"scenario_2"
"71",2015,60971.2,60971.2,21368.85,1726.765,0.336319,9209.56,77302,"scenario_2"
"72",2016,65889,65889,22193.15,1754.2,0.485732,13231.8,77302,"scenario_2"
"73",2017,68808.4,68808.4,22751.2,1864.12,0.564958,15170.3,77302,"scenario_2"
"74",2018,69638.1,69638.1,23427.7,2098.025,0.79611,20414.3,77302,"scenario_2"
"75",2019,63168.1,63168.1,21344.6,2150.57,0.823338,19186.9,77302,"scenario_2"
"76",2020,58437.4,58437.4,19294.2,2235.18,0.654258,14249.9,77302,"scenario_2"
"77",2021,60513.3,60513.3,18899.45,2324.35,0.659153,13966.1,77302,"scenario_2"
"78",2022,64219.4,64219.4,20050.85,2505.725,0.53401,11852,77302,"scenario_2"
"79",2023,68520.3,68520.3,23232.15,3072.99,0.277433,7311.63,77302,"scenario_2"
"80",2024,75762.4,75762.4,26456.3,3547.33,0.462701,14251.3,77302,"scenario_2"
"81",2025,79236.4,79236.4,26947.2,10628,0.481067,15584.4,77302,"scenario_2"
"82",2026,82991,82991,27583.6,16889.55,0.506437,16629.4,77302,"scenario_2"
"83",2027,87042.7,87042.7,28896.85,19568,0.559186,18711.7,77302,"scenario_2"
"84",2028,89916.8,89916.8,30003.5,18170.05,0.603651,20705.3,77302,"scenario_2"
"85",2029,91210.5,91210.5,30533.05,15504.05,0.624976,21799.3,77302,"scenario_2"
"86",2030,91494.7,91494.7,30657.9,13822.75,0.630012,22106.5,77302,"scenario_2"
"87",2031,91436.6,91436.6,30639.25,13313.2,0.629254,22091.2,77302,"scenario_2"
