"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,23295.3,23295.3,23295.3,23295.3,23295.3,23295.3,23295.3
"2",2024,26602.25,26602.25,26489.45,27272.25,27475.1,26409.9,26602.3
"3",2025,27728.15,27728.15,27099.15,32086.45,33650.2,26671.2,27728.15
"4",2026,28597.1,28597.1,27738.05,36421.65,39991.3,27185.95,28338.25
"5",2027,29936.3,29936.3,28990.15,40991.05,46621.65,28398,28642.95
"6",2028,31024.4,31024.4,30007.15,45270.95,52926,29373.5,29371.5
"7",2029,31551.75,31551.75,30467.6,48882.3,58489,29791.9,29758.6
"8",2030,31691.5,31691.5,30566.15,51729.5,63181.5,29865.9,29849.4
"9",2031,31684.9,31684.9,30546.05,53852,66983,29839.15,29835.45
"10",2032,31657.15,31657.15,30518.8,55368,69963,29813.15,29813.65
"11",2033,31643.05,31643.05,30507.8,56433,72278,29804.25,29805.05
"12",2034,31639.3,31639.3,30505.95,57163.5,74039.5,29803.45,29803.8
"13",2035,31639.3,31639.3,30506.6,57656,75361.5,29804.3,29804.35
"14",2036,31639.95,31639.95,30507.2,57984,76342.5,29804.9,29804.85
