Label,M23_0a,M23_0b
TOTAL_like,777.812,772.106
Survey_like,-1.9787,-4.26773
Length_comp_like,141.08,138.871
Age_comp_like,641.532,640.58
Parm_priors_like,0.622167,0.692665
Recr_Virgin_millions,23.633,24.4566
SR_LN(R0),10.0704,10.1047
SR_BH_steep,1,1
NatM_uniform_Fem_GP_1,0.338611,0.344759
L_at_Amax_Fem_GP_1,117.212,117.631
VonBert_K_Fem_GP_1,0.191092,0.190284
VonBert_K_Fem_GP_1_BLK1add_1991,0.00430556,0.003993
VonBert_K_Fem_GP_1_BLK1add_2004,0.00301201,0.00171437
VonBert_K_Fem_GP_1_BLK1add_2018,-0.00731723,-0.0057067
SSB_Virgin_thousand_mt,163.374,161.961
Bratio_2021,0.231044,0.250318
SPRratio_2020,0.610683,0.598274
